item_id,store_code,a,b,y,pred,error,cost
78932,all,41.76,10.62,9716.0,5042.85865037,-0.480973790616,17862083.3773
78932,4,16.72,4.24,3392.0,1258.52392321,-0.628972899998,1813001.24952
76166,all,40.14,11.66,2899.0,2449.40418337,-0.155086518326,722834.156656
21605,all,45.68,10.67,2034.0,1613.57340695,-0.206699406613,576410.093877
78932,3,18.56,4.72,1938.0,703.949754286,-0.63676483267,489588.872504
12885,all,41.27,10.94,1893.0,1568.85615998,-0.171232879037,352742.095051
78932,1,12.84,3.28,1495.0,775.494193974,-0.48127478664,323374.954708
78932,2,11.12,2.84,1445.0,501.093975463,-0.653222162309,312014.923039
21605,4,18.28,4.28,1105.0,763.632356049,-0.308929994526,244960.370792
78932,5,20.88,5.32,1446.0,1147.42742147,-0.206481727893,235101.358642
76166,4,16.04,4.68,998.0,616.5951714,-0.382169166934,174678.813876
76166,3,17.84,5.2,814.0,438.360161253,-0.461474003375,138490.801289
2806,all,10.18,42.52,781.0,310.553833698,-0.602363849299,101616.371921
124614,all,42.22,16.54,580.0,213.777834135,-0.631417527354,76416.3934596
47240,all,41.04,11.83,812.0,700.080419357,-0.137831995866,65083.4084114
149294,all,43.53,11.25,631.0,321.128985928,-0.491079261604,63720.9153085
3424,all,21.09,35.75,718.0,603.547435248,-0.159404686283,63057.9213722
145951,all,15.16,8.59,611.0,481.892990345,-0.211304434787,59647.4384607
137191,all,42.29,83.59,697.0,584.291766348,-0.161704782858,57110.3537148
103761,all,43.72,11.68,1056.0,2181.66249248,1.06596826939,49213.964171
102261,all,42.1,72.87,212.0,1177.13117273,4.55250553175,40632.022372
12885,1,12.68,3.36,466.0,289.599487933,-0.378541871389,39434.5315019
71580,all,45.39,17.66,491.0,335.605886553,-0.316484956104,38232.1185914
76166,1,12.36,3.6,475.0,330.920264679,-0.303325758571,36272.4251242
114243,all,47.49,10.44,727.0,1409.03344456,0.938147791685,32389.7682819
166958,all,44.23,11.18,788.0,1397.70045131,0.773731537199,26967.0509616
29309,all,21.51,35.51,472.0,375.782742635,-0.203850121537,26363.5285183
