item_id,store_code,pred
78932,all,5042.85865037
78932,4,1258.52392321
76166,all,2449.40418337
21605,all,1613.57340695
78932,3,703.949754286
12885,all,1568.85615998
78932,1,775.494193974
78932,2,501.093975463
21605,4,763.632356049
78932,5,1147.42742147
76166,4,616.5951714
76166,3,438.360161253
2806,all,310.553833698
124614,all,213.777834135
47240,all,700.080419357
149294,all,321.128985928
3424,all,603.547435248
145951,all,481.892990345
137191,all,584.291766348
103761,all,2181.66249248
102261,all,1177.13117273
12885,1,289.599487933
71580,all,335.605886553
76166,1,330.920264679
114243,all,1409.03344456
166958,all,1397.70045131
29309,all,375.782742635
100482,all,915.374141026
24335,all,1892.83796081
12885,4,393.728774205
12885,3,299.68669339
127809,all,713.271708206
12885,5,249.667547376
39806,all,1679.93805611
21605,5,256.857275267
76166,2,145.858736839
158638,all,953.719183285
95573,4,248.771364233
71934,all,1099.10467622
133720,all,531.476869567
55916,all,1235.05997816
63723,all,295.172107484
11991,all,433.94468438
102261,5,531.801405457
2806,4,77.1156885804
117489,all,576.282198026
43889,all,431.386348183
149294,5,74.0870266774
21605,3,187.38923176
88845,all,400.458085354
137191,3,218.981300102
141292,all,69.6951443448
26678,all,184.869833219
17372,all,66.3368292528
145958,all,85.476
70694,all,466.807086154
76820,all,377.489682473
12885,2,145.182274741
150503,all,301.192769615
164234,all,106.933220432
107942,all,271.793828246
144874,all,283.799486777
149965,all,408.927115501
127809,3,63.1353375039
38714,all,368.39572815
61827,all,215.887964037
128148,all,375.55802391
115667,all,155.455478931
85200,all,82.5287042011
60437,all,433.232458937
49841,all,865.164658406
145951,5,71.5898562702
74148,all,200.307393582
105609,all,739.600093599
32084,all,54.319576871
103761,4,819.857204107
78234,all,103.750762911
95573,all,421.428753619
109701,all,132.016110379
40127,all,492.863033794
103761,3,459.427502786
71580,4,112.162067741
75974,all,266.888249176
3424,5,165.694448148
137191,2,112.672563059
48872,all,715.437191559
2806,1,48.8795706482
29309,3,127.048215255
40593,all,138.357027587
103761,5,328.799706441
130713,all,265.14081623
55977,all,137.37250796
20273,all,403.694688724
53516,all,418.035723956
45378,all,103.757385448
114243,4,572.334621182
146021,all,251.651055738
79146,all,341.830062586
99860,all,142.403946297
153895,all,188.188561323
137228,all,318.641496377
116175,all,174.915660405
82149,all,409.901645422
82830,all,279.291680036
13884,all,186.192309604
155045,all,188.02535959
2806,2,69.4576311087
149294,3,139.294822605
89265,all,110.211188583
2980,all,240.716839633
69045,all,422.706075016
154270,all,475.884729426
60416,all,97.3481751388
24335,3,211.255387118
166958,4,446.418301946
69003,all,295.151544489
30600,all,140.411180589
100482,4,294.795885748
21605,2,129.813295744
85023,all,155.29827678
47240,2,95.5474671185
156583,all,267.064433277
36389,all,167.837122071
153697,all,267.709935957
78263,all,147.299144294
100293,all,470.939584742
149996,all,146.03664562
75423,all,62.6023550907
133720,4,281.465408323
114243,5,240.327634057
108519,all,161.316212098
75417,all,94.7252684215
33131,all,124.504006341
148093,all,191.638827721
124614,3,44.9975439112
164356,all,122.185654761
114243,3,226.635807337
102261,4,205.920238658
141293,all,31.4495276759
92286,all,143.960430204
109791,all,133.017324804
147118,all,32.2736000878
128919,all,140.73205404
146734,all,105.445562552
119352,all,211.442313094
166958,1,420.786807549
107942,5,57.1095640964
73362,all,315.472538535
74547,all,74.1195832491
53735,all,656.714259016
26765,all,151.689116902
9543,all,40.150805202
148388,all,199.176101237
29678,all,121.519765633
163228,all,543.475845918
91041,all,119.036476581
111417,4,355.262628267
128148,2,71.6320558399
2214,all,93.0661965814
120246,all,155.453030028
142687,all,122.213047575
162430,all,178.8321103
103761,1,348.702864022
57261,all,80.64
166958,5,177.823740044
140675,all,204.285758717
126285,all,103.49595425
124067,all,106.735931883
11991,3,195.025117956
164596,all,16.2036045808
43889,3,246.276655179
19417,all,192.383542222
94239,all,210.840161845
89319,all,108.016171088
145309,all,172.564267503
100482,3,183.263106161
105711,all,200.168667483
96500,all,55.3623137474
113808,all,191.254044533
102261,3,158.443543596
145558,all,470.40765337
55916,5,323.205682115
13299,all,121.031577072
15807,all,22.5308411068
158638,3,262.035235942
71934,5,163.878496408
157253,all,111.502451973
151268,all,57.5839562221
124614,1,38.1128710218
74418,all,64.9758836891
155737,all,248.247932654
145289,all,213.074474343
47240,4,258.72128399
89028,all,71.7006126212
26711,all,161.508309763
155200,all,143.866210733
136718,all,111.033489251
48872,3,473.668915114
93519,all,65.7624
85095,all,81.6889500488
110763,all,261.157174832
166861,all,153.734549564
55916,4,454.731883616
53384,all,118.712203706
100482,5,139.568063406
121895,all,123.949662866
